[2025/12/01 02:18:32] Epoch[22/300], Step[151/173], lr:7.56e-04, PSNR:21.2, pixel_loss:0.1065, clip_loss:0.0000, total_loss:0.1065 [WARMUP]
[2025/12/01 02:18:38] Epoch[22/300], Step[173/173], lr:7.60e-04, PSNR:21.23, pixel_loss:0.1061, clip_loss:0.0000, total_loss:0.1061 [WARMUP]
[2025/12/01 02:20:11] Epoch[23/300], Step[1/173], lr:7.60e-04, PSNR:21.82, pixel_loss:0.0973, clip_loss:0.0000, total_loss:0.0973 [WARMUP]
[2025/12/01 02:20:26] Epoch[23/300], Step[51/173], lr:7.69e-04, PSNR:21.46, pixel_loss:0.1031, clip_loss:0.0000, total_loss:0.1031 [WARMUP]
[2025/12/01 02:20:37] Epoch[23/300], Step[101/173], lr:7.77e-04, PSNR:21.42, pixel_loss:0.1039, clip_loss:0.0000, total_loss:0.1039 [WARMUP]
[2025/12/01 02:20:49] Epoch[23/300], Step[151/173], lr:7.86e-04, PSNR:21.46, pixel_loss:0.1036, clip_loss:0.0000, total_loss:0.1036 [WARMUP]
[2025/12/01 02:20:53] Epoch[23/300], Step[173/173], lr:7.90e-04, PSNR:21.44, pixel_loss:0.1037, clip_loss:0.0000, total_loss:0.1037 [WARMUP]
[2025/12/01 02:22:35] Epoch[24/300], Step[1/173], lr:7.90e-04, PSNR:22.15, pixel_loss:0.1040, clip_loss:0.0000, total_loss:0.1040 [WARMUP]
[2025/12/01 02:22:51] Epoch[24/300], Step[51/173], lr:7.99e-04, PSNR:21.56, pixel_loss:0.1018, clip_loss:0.0000, total_loss:0.1018 [WARMUP]
[2025/12/01 02:23:05] Epoch[24/300], Step[101/173], lr:8.07e-04, PSNR:21.61, pixel_loss:0.1013, clip_loss:0.0000, total_loss:0.1013 [WARMUP]
[2025/12/01 02:23:14] Epoch[24/300], Step[151/173], lr:8.16e-04, PSNR:21.6, pixel_loss:0.1014, clip_loss:0.0000, total_loss:0.1014 [WARMUP]
[2025/12/01 02:23:16] Epoch[24/300], Step[173/173], lr:8.20e-04, PSNR:21.6, pixel_loss:0.1014, clip_loss:0.0000, total_loss:0.1014 [WARMUP]
[2025/12/01 02:24:52] Epoch[25/300], Step[1/173], lr:8.20e-04, PSNR:22.38, pixel_loss:0.0847, clip_loss:0.0000, total_loss:0.0847 [WARMUP]
[2025/12/01 02:25:08] Epoch[25/300], Step[51/173], lr:8.29e-04, PSNR:21.62, pixel_loss:0.1015, clip_loss:0.0000, total_loss:0.1015 [WARMUP]
[2025/12/01 02:25:18] Epoch[25/300], Step[101/173], lr:8.37e-04, PSNR:21.76, pixel_loss:0.0992, clip_loss:0.0000, total_loss:0.0992 [WARMUP]
[2025/12/01 02:25:27] Epoch[25/300], Step[151/173], lr:8.46e-04, PSNR:21.76, pixel_loss:0.0997, clip_loss:0.0000, total_loss:0.0997 [WARMUP]
[2025/12/01 02:25:30] Epoch[25/300], Step[173/173], lr:8.50e-04, PSNR:21.76, pixel_loss:0.0995, clip_loss:0.0000, total_loss:0.0995 [WARMUP]
[2025/12/01 02:27:02] Epoch[26/300], Step[1/173], lr:8.50e-04, PSNR:22.39, pixel_loss:0.0903, clip_loss:0.0000, total_loss:0.0903 [WARMUP]
[2025/12/01 02:27:13] Epoch[26/300], Step[51/173], lr:8.59e-04, PSNR:21.68, pixel_loss:0.1012, clip_loss:0.0000, total_loss:0.1012 [WARMUP]
[2025/12/01 02:27:24] Epoch[26/300], Step[101/173], lr:8.67e-04, PSNR:21.9, pixel_loss:0.0976, clip_loss:0.0000, total_loss:0.0976 [WARMUP]
[2025/12/01 02:27:34] Epoch[26/300], Step[151/173], lr:8.76e-04, PSNR:21.9, pixel_loss:0.0980, clip_loss:0.0000, total_loss:0.0980 [WARMUP]
[2025/12/01 02:27:37] Epoch[26/300], Step[173/173], lr:8.80e-04, PSNR:21.87, pixel_loss:0.0979, clip_loss:0.0000, total_loss:0.0979 [WARMUP]
[2025/12/01 02:29:16] Epoch[27/300], Step[1/173], lr:8.80e-04, PSNR:21.87, pixel_loss:0.0907, clip_loss:0.0000, total_loss:0.0907 [WARMUP]
[2025/12/01 02:29:30] Epoch[27/300], Step[51/173], lr:8.89e-04, PSNR:22.05, pixel_loss:0.0953, clip_loss:0.0000, total_loss:0.0953 [WARMUP]
